param_name,车型10_12.19,车型11_12.89,车型12_13.19,车型13_11.39,车型14_11.69,车型15_15.09,车型16_15.39,车型17_12.19,车型18_12.49,车型19_12.49,车型1_16.28,车型20_12.79,车型21_12.39,车型22_12.69,车型23_13.39,车型24_13.69,车型25_11.19,车型26_11.49,车型27_11.99,车型28_12.29,车型29_12.89,车型2_16.58,车型30_13.19,车型31_12.79,车型32_13.09,车型33_13.69,车型34_13.99,车型35_13.79,车型36_14.09,车型3_15.99,车型4_16.29,车型5_10.29,车型6_10.59,车型7_11.29,车型8_11.59,车型9_11.89
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾位 副驾驶,主驾位 副驾驶,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾驶+照明灯 副驾驶+照明灯,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾驶+照明灯 副驾驶+照明灯,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车窗一键降功能,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车身结构,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L2,L2,-,-,-,-,-,-,-,-,-,-,-,L2,L2,-,-,-,-,-,-,-
进入功能,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720,4749*1900*1720
阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶辅助,360度全景,360度全景,360度全景,360度全景,360度全景,倒车,倒车,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,倒车,倒车,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,倒车,倒车,倒车,倒车,360度全景,360度全景,360度全景
